Execucao,Repeticao,Threshold,Border,Ksize,xA,xB,xC
1,1,40,replicate,7,-1,+1,+1
2,1,80,zero_padding,3,+1,-1,-1
3,1,80,replicate,3,+1,+1,-1
4,1,80,replicate,7,+1,+1,+1
5,1,40,replicate,3,-1,+1,-1
6,1,80,zero_padding,7,+1,-1,+1
7,1,40,zero_padding,3,-1,-1,-1
8,1,40,zero_padding,7,-1,-1,+1
9,2,40,replicate,7,-1,+1,+1
10,2,80,replicate,7,+1,+1,+1
11,2,40,replicate,3,-1,+1,-1
12,2,40,zero_padding,3,-1,-1,-1
13,2,80,zero_padding,3,+1,-1,-1
14,2,80,replicate,3,+1,+1,-1
15,2,80,zero_padding,7,+1,-1,+1
16,2,40,zero_padding,7,-1,-1,+1
17,3,40,replicate,7,-1,+1,+1
18,3,80,zero_padding,7,+1,-1,+1
19,3,40,replicate,3,-1,+1,-1
20,3,80,zero_padding,3,+1,-1,-1
21,3,40,zero_padding,7,-1,-1,+1
22,3,80,replicate,3,+1,+1,-1
23,3,80,replicate,7,+1,+1,+1
24,3,40,zero_padding,3,-1,-1,-1
25,4,40,replicate,3,-1,+1,-1
26,4,40,zero_padding,7,-1,-1,+1
27,4,40,zero_padding,3,-1,-1,-1
28,4,80,replicate,7,+1,+1,+1
29,4,80,zero_padding,3,+1,-1,-1
30,4,80,replicate,3,+1,+1,-1
31,4,80,zero_padding,7,+1,-1,+1
32,4,40,replicate,7,-1,+1,+1
33,5,80,zero_padding,7,+1,-1,+1
34,5,40,replicate,3,-1,+1,-1
35,5,80,replicate,7,+1,+1,+1
36,5,40,replicate,7,-1,+1,+1
37,5,40,zero_padding,7,-1,-1,+1
38,5,40,zero_padding,3,-1,-1,-1
39,5,80,replicate,3,+1,+1,-1
40,5,80,zero_padding,3,+1,-1,-1
